date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:55:23	23760/23760	---M--	200	added ('OK')	text/html	date:Sat,%2005%20May%202018%2010:31:42%20GMT	http://www.visualpath.in/devopstutorials/devops	C:/jenklly/mytrials/ops/visualpath/visualpath/www.visualpath.in/devopstutorials/devops.html	(from )
00:55:24	220/220	---M--	302	error ('Found')	text/html	date:Fri,%2013%20Dec%202019%2019:25:24%20GMT	http://www.visualpath.in/robots.txt		(from )
00:55:26	205659/205659	---M--	200	added ('OK')	text/css	date:Fri,%2024%20Nov%202017%2008:37:14%20GMT	http://www.visualpath.in/devopstutorials/css/jquery.mobile-1.4.5.min.css	C:/jenklly/mytrials/ops/visualpath/visualpath/www.visualpath.in/devopstutorials/css/jquery.mobile-1.4.5.min.css	(from http://www.visualpath.in/devopstutorials/devops)
00:55:26	23361/23361	---M-Z	200	added ('OK')	text/css	etag:%220386ec7c1dd51:0%22	https://www.w3schools.com/w3css/4/w3.css	C:/jenklly/mytrials/ops/visualpath/visualpath/www.w3schools.com/w3css/4/w3.css	(from http://www.visualpath.in/devopstutorials/devops)
00:55:29	818/818	---M--	200	added ('OK')	text/css	date:Fri,%2024%20Nov%202017%2008:37:14%20GMT	http://www.visualpath.in/devopstutorials/css/reset.css	C:/jenklly/mytrials/ops/visualpath/visualpath/www.visualpath.in/devopstutorials/css/reset.css	(from http://www.visualpath.in/devopstutorials/devops)
00:55:29	14750/14750	---M--	200	added ('OK')	text/css	date:Sat,%2005%20May%202018%2010:25:48%20GMT	http://www.visualpath.in/devopstutorials/css/styles.css	C:/jenklly/mytrials/ops/visualpath/visualpath/www.visualpath.in/devopstutorials/css/styles.css	(from http://www.visualpath.in/devopstutorials/devops)
00:55:30	219/219	---M--	302	error ('Found')	text/html	date:Fri,%2013%20Dec%202019%2019:25:30%20GMT	http://www.visualpath.in/devopstutorials/css/font-awesome.min.css	C:/jenklly/mytrials/ops/visualpath/visualpath/www.visualpath.in/devopstutorials/css/font-awesome.min.css	(from http://www.visualpath.in/devopstutorials/devops)
00:55:31	17356/17356	---M--	200	added ('OK')	application/javascript	date:Fri,%2024%20Nov%202017%2008:37:14%20GMT	http://www.visualpath.in/devopstutorials/js/waypoints.js	C:/jenklly/mytrials/ops/visualpath/visualpath/www.visualpath.in/devopstutorials/js/waypoints.js	(from http://www.visualpath.in/devopstutorials/devops)
00:55:33	17731/17731	---M--	200	added ('OK')	image/png	date:Wed,%2029%20Nov%202017%2000:16:40%20GMT	http://www.visualpath.in/devopstutorials/img/devopslogo.png	C:/jenklly/mytrials/ops/visualpath/visualpath/www.visualpath.in/devopstutorials/img/devopslogo.png	(from http://www.visualpath.in/devopstutorials/devops)
00:55:35	6523/6523	---M--	200	added ('OK')	application/javascript	date:Fri,%2001%20Dec%202017%2006:41:46%20GMT	http://www.visualpath.in/devopstutorials/js/slider.js	C:/jenklly/mytrials/ops/visualpath/visualpath/www.visualpath.in/devopstutorials/js/slider.js	(from http://www.visualpath.in/devopstutorials/devops)
00:55:36	3714/3714	---M--	200	added ('OK')	application/javascript	date:Fri,%2024%20Nov%202017%2008:37:14%20GMT	http://www.visualpath.in/devopstutorials/js/superfish.js	C:/jenklly/mytrials/ops/visualpath/visualpath/www.visualpath.in/devopstutorials/js/superfish.js	(from http://www.visualpath.in/devopstutorials/devops)
00:55:39	95960/95960	---M--	200	added ('OK')	application/javascript	date:Fri,%2024%20Nov%202017%2008:37:14%20GMT	http://www.visualpath.in/devopstutorials/js/jquery-1.11.3.min.js	C:/jenklly/mytrials/ops/visualpath/visualpath/www.visualpath.in/devopstutorials/js/jquery-1.11.3.min.js	(from http://www.visualpath.in/devopstutorials/devops)
00:55:39	0/0	---M--	200	added ('OK')	application/javascript	date:Fri,%2001%20Dec%202017%2006:31:02%20GMT	http://www.visualpath.in/devopstutorials/js/blockurl.js	C:/jenklly/mytrials/ops/visualpath/visualpath/www.visualpath.in/devopstutorials/js/blockurl.e.delayed	(from http://www.visualpath.in/devopstutorials/devops)
00:55:39	848/848	---M--	200	added ('OK')	application/javascript	date:Fri,%2001%20Dec%202017%2006:35:54%20GMT	http://www.visualpath.in/devopstutorials/js/keydisable.js	C:/jenklly/mytrials/ops/visualpath/visualpath/www.visualpath.in/devopstutorials/js/keydisable.js	(from http://www.visualpath.in/devopstutorials/devops)
00:55:40	736/736	---M--	200	added ('OK')	application/javascript	date:Fri,%2001%20Dec%202017%2006:36:50%20GMT	http://www.visualpath.in/devopstutorials/js/keydisable1.js	C:/jenklly/mytrials/ops/visualpath/visualpath/www.visualpath.in/devopstutorials/js/keydisable1.js	(from http://www.visualpath.in/devopstutorials/devops)
00:55:40	219/219	---M--	200	added ('OK')	application/javascript	date:Fri,%2001%20Dec%202017%2006:38:04%20GMT	http://www.visualpath.in/devopstutorials/js/keydisable2.js	C:/jenklly/mytrials/ops/visualpath/visualpath/www.visualpath.in/devopstutorials/js/keydisable2.js	(from http://www.visualpath.in/devopstutorials/devops)
00:55:40	160/160	---M--	200	added ('OK')	application/javascript	date:Fri,%2001%20Dec%202017%2006:39:50%20GMT	http://www.visualpath.in/devopstutorials/js/keydisable3.js	C:/jenklly/mytrials/ops/visualpath/visualpath/www.visualpath.in/devopstutorials/js/keydisable3.js	(from http://www.visualpath.in/devopstutorials/devops)
00:55:40	160/160	---M--	200	added ('OK')	application/javascript	date:Fri,%2001%20Dec%202017%2006:40:34%20GMT	http://www.visualpath.in/devopstutorials/js/keydisable4.js	C:/jenklly/mytrials/ops/visualpath/visualpath/www.visualpath.in/devopstutorials/js/keydisable4.js	(from http://www.visualpath.in/devopstutorials/devops)
00:55:41	6908/6908	---M--	200	added ('OK')	application/javascript	date:Fri,%2001%20Dec%202017%2006:27:02%20GMT	http://www.visualpath.in/devopstutorials/js/contentNavigation.js	C:/jenklly/mytrials/ops/visualpath/visualpath/www.visualpath.in/devopstutorials/js/contentNavigation.js	(from http://www.visualpath.in/devopstutorials/devops)
